emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
👊,U+1F44A,10577,U+1F44A,👊,oncoming fist,0.6,People & Body,hand-fingers-closed,fully-qualified
🌘,U+1F318,10564,U+1F318,🌘,waning crescent moon,1.0,Travel & Places,sky & weather,fully-qualified
☑️,U+2611 U+FE0F,10529,U+2611 U+FE0F,☑️,check box with check,0.6,Symbols,other-symbol,fully-qualified
⚖️,U+2696 U+FE0F,10365,U+2696 U+FE0F,⚖️,balance scale,1.0,Objects,tool,fully-qualified
💤,U+1F4A4,10304,U+1F4A4,💤,ZZZ,0.6,Smileys & Emotion,emotion,fully-qualified
🛡️,U+1F6E1 U+FE0F,10276,U+1F6E1 U+FE0F,🛡️,shield,0.7,Objects,tool,fully-qualified
🚧,U+1F6A7,10265,U+1F6A7,🚧,construction,0.6,Travel & Places,transport-ground,fully-qualified
🐟,U+1F41F,10118,U+1F41F,🐟,fish,0.6,Animals & Nature,animal-marine,fully-qualified
🐈,U+1F408,10115,U+1F408,🐈,cat,0.7,Animals & Nature,animal-mammal,fully-qualified
⤵️,U+2935 U+FE0F,10107,U+2935 U+FE0F,⤵️,right arrow curving down,0.6,Symbols,arrow,fully-qualified
🧵,U+1F9F5,10105,U+1F9F5,🧵,thread,11.0,Activities,arts & crafts,fully-qualified
⏱️,U+23F1 U+FE0F,10103,U+23F1 U+FE0F,⏱️,stopwatch,1.0,Travel & Places,time,fully-qualified
👶,U+1F476,10066,U+1F476,👶,baby,0.6,People & Body,person,fully-qualified
🥊,U+1F94A,10005,U+1F94A,🥊,boxing glove,3.0,Activities,sport,fully-qualified
🍓,U+1F353,9992,U+1F353,🍓,strawberry,0.6,Food & Drink,food-fruit,fully-qualified
🐕,U+1F415,9958,U+1F415,🐕,dog,0.7,Animals & Nature,animal-mammal,fully-qualified
⛰️,U+26F0 U+FE0F,9944,U+26F0 U+FE0F,⛰️,mountain,0.7,Travel & Places,place-geographic,fully-qualified
⚪,U+26AA,9937,U+26AA,⚪,white circle,0.6,Symbols,geometric,fully-qualified
🚫,U+1F6AB,9871,U+1F6AB,🚫,prohibited,0.6,Symbols,warning,fully-qualified
🧪,U+1F9EA,9818,U+1F9EA,🧪,test tube,11.0,Objects,science,fully-qualified
🍆,U+1F346,9804,U+1F346,🍆,eggplant,0.6,Food & Drink,food-vegetable,fully-qualified
3️⃣,U+0033 U+FE0F U+20E3,9800,U+0033 U+FE0F U+20E3,3️⃣,keycap: 3,0.6,Symbols,keycap,fully-qualified
🍿,U+1F37F,9793,U+1F37F,🍿,popcorn,1.0,Food & Drink,food-prepared,fully-qualified
🦋,U+1F98B,9786,U+1F98B,🦋,butterfly,3.0,Animals & Nature,animal-bug,fully-qualified
🔨,U+1F528,9710,U+1F528,🔨,hammer,0.6,Objects,tool,fully-qualified
😛,U+1F61B,9654,U+1F61B,😛,face with tongue,1.0,Smileys & Emotion,face-tongue,fully-qualified
☃️,U+2603 U+FE0F,9650,U+2603 U+FE0F,☃️,snowman,0.7,Travel & Places,sky & weather,fully-qualified
🏅,U+1F3C5,9593,U+1F3C5,🏅,sports medal,1.0,Activities,award-medal,fully-qualified
👁️,U+1F441 U+FE0F,9588,U+1F441 U+FE0F,👁️,eye,0.7,People & Body,body-parts,fully-qualified
🐱,U+1F431,9580,U+1F431,🐱,cat face,0.6,Animals & Nature,animal-mammal,fully-qualified
⚫,U+26AB,9563,U+26AB,⚫,black circle,0.6,Symbols,geometric,fully-qualified
🇯🇵,U+1F1EF U+1F1F5,9510,U+1F1EF U+1F1F5,🇯🇵,flag: Japan,0.6,Flags,country-flag,fully-qualified
🏢,U+1F3E2,9507,U+1F3E2,🏢,office building,0.6,Travel & Places,place-building,fully-qualified
🏁,U+1F3C1,9413,U+1F3C1,🏁,chequered flag,0.6,Flags,flag,fully-qualified
🤠,U+1F920,9400,U+1F920,🤠,cowboy hat face,3.0,Smileys & Emotion,face-hat,fully-qualified
🍰,U+1F370,9355,U+1F370,🍰,shortcake,0.6,Food & Drink,food-sweet,fully-qualified
😨,U+1F628,9335,U+1F628,😨,fearful face,0.6,Smileys & Emotion,face-concerned,fully-qualified
👅,U+1F445,9309,U+1F445,👅,tongue,0.6,People & Body,body-parts,fully-qualified
😵‍💫,U+1F635 U+200D U+1F4AB,9301,U+1F635 U+200D U+1F4AB,😵‍💫,face with spiral eyes,13.1,Smileys & Emotion,face-unwell,fully-qualified
🧸,U+1F9F8,9213,U+1F9F8,🧸,teddy bear,11.0,Activities,game,fully-qualified
🕊️,U+1F54A U+FE0F,9133,U+1F54A U+FE0F,🕊️,dove,0.7,Animals & Nature,animal-bird,fully-qualified
👎,U+1F44E,9115,U+1F44E,👎,thumbs down,0.6,People & Body,hand-fingers-closed,fully-qualified
🌷,U+1F337,9072,U+1F337,🌷,tulip,0.6,Animals & Nature,plant-flower,fully-qualified
🇦🇺,U+1F1E6 U+1F1FA,9064,U+1F1E6 U+1F1FA,🇦🇺,flag: Australia,2.0,Flags,country-flag,fully-qualified
🇳🇱,U+1F1F3 U+1F1F1,9018,U+1F1F3 U+1F1F1,🇳🇱,flag: Netherlands,2.0,Flags,country-flag,fully-qualified
🍴,U+1F374,8966,U+1F374,🍴,fork and knife,0.6,Food & Drink,dishware,fully-qualified
💞,U+1F49E,8960,U+1F49E,💞,revolving hearts,0.6,Smileys & Emotion,heart,fully-qualified
📆,U+1F4C6,8954,U+1F4C6,📆,tear-off calendar,0.6,Objects,office,fully-qualified
👽,U+1F47D,8949,U+1F47D,👽,alien,0.6,Smileys & Emotion,face-costume,fully-qualified
🟥,U+1F7E5,8907,U+1F7E5,🟥,red square,12.0,Symbols,geometric,fully-qualified
🎾,U+1F3BE,8896,U+1F3BE,🎾,tennis,0.6,Activities,sport,fully-qualified
😝,U+1F61D,8872,U+1F61D,😝,squinting face with tongue,0.6,Smileys & Emotion,face-tongue,fully-qualified
🦁,U+1F981,8785,U+1F981,🦁,lion,1.0,Animals & Nature,animal-mammal,fully-qualified
🛏️,U+1F6CF U+FE0F,8696,U+1F6CF U+FE0F,🛏️,bed,0.7,Objects,household,fully-qualified
🚌,U+1F68C,8689,U+1F68C,🚌,bus,0.6,Travel & Places,transport-ground,fully-qualified
🐣,U+1F423,8689,U+1F423,🐣,hatching chick,0.6,Animals & Nature,animal-bird,fully-qualified
🥚,U+1F95A,8668,U+1F95A,🥚,egg,3.0,Food & Drink,food-prepared,fully-qualified
🍎,U+1F34E,8639,U+1F34E,🍎,red apple,0.6,Food & Drink,food-fruit,fully-qualified
🗳️,U+1F5F3 U+FE0F,8613,U+1F5F3 U+FE0F,🗳️,ballot box with ballot,0.7,Objects,mail,fully-qualified
🥁,U+1F941,8598,U+1F941,🥁,drum,3.0,Objects,musical-instrument,fully-qualified
🐐,U+1F410,8561,U+1F410,🐐,goat,1.0,Animals & Nature,animal-mammal,fully-qualified
🌖,U+1F316,8450,U+1F316,🌖,waning gibbous moon,1.0,Travel & Places,sky & weather,fully-qualified
🍒,U+1F352,8432,U+1F352,🍒,cherries,0.6,Food & Drink,food-fruit,fully-qualified
🍪,U+1F36A,8390,U+1F36A,🍪,cookie,0.6,Food & Drink,food-sweet,fully-qualified
🤮,U+1F92E,8385,U+1F92E,🤮,face vomiting,5.0,Smileys & Emotion,face-unwell,fully-qualified
🔧,U+1F527,8372,U+1F527,🔧,wrench,0.6,Objects,tool,fully-qualified
🕯️,U+1F56F U+FE0F,8290,U+1F56F U+FE0F,🕯️,candle,0.7,Objects,light & video,fully-qualified
🎲,U+1F3B2,8287,U+1F3B2,🎲,game die,0.6,Activities,game,fully-qualified
🐦,U+1F426,8248,U+1F426,🐦,bird,0.6,Animals & Nature,animal-bird,fully-qualified
🧬,U+1F9EC,8176,U+1F9EC,🧬,dna,11.0,Objects,science,fully-qualified
▶️,U+25B6 U+FE0F,8135,U+25B6 U+FE0F,▶️,play button,0.6,Symbols,av-symbol,fully-qualified
🌺,U+1F33A,8123,U+1F33A,🌺,hibiscus,0.6,Animals & Nature,plant-flower,fully-qualified
🫦,U+1FAE6,8082,U+1FAE6,🫦,biting lip,14.0,People & Body,body-parts,fully-qualified
😞,U+1F61E,8060,U+1F61E,😞,disappointed face,0.6,Smileys & Emotion,face-concerned,fully-qualified
🥱,U+1F971,8021,U+1F971,🥱,yawning face,12.0,Smileys & Emotion,face-concerned,fully-qualified
🇨🇦,U+1F1E8 U+1F1E6,8010,U+1F1E8 U+1F1E6,🇨🇦,flag: Canada,2.0,Flags,country-flag,fully-qualified
🔋,U+1F50B,7966,U+1F50B,🔋,battery,0.6,Objects,computer,fully-qualified
⬅️,U+2B05 U+FE0F,7952,U+2B05 U+FE0F,⬅️,left arrow,0.6,Symbols,arrow,fully-qualified
👈,U+1F448,7932,U+1F448,👈,backhand index pointing left,0.6,People & Body,hand-single-finger,fully-qualified
🖊️,U+1F58A U+FE0F,7927,U+1F58A U+FE0F,🖊️,pen,0.7,Objects,writing,fully-qualified
🐉,U+1F409,7915,U+1F409,🐉,dragon,1.0,Animals & Nature,animal-reptile,fully-qualified
🦌,U+1F98C,7869,U+1F98C,🦌,deer,3.0,Animals & Nature,animal-mammal,fully-qualified
🍬,U+1F36C,7835,U+1F36C,🍬,candy,0.6,Food & Drink,food-sweet,fully-qualified
🚩,U+1F6A9,7833,U+1F6A9,🚩,triangular flag,0.6,Flags,flag,fully-qualified
🟣,U+1F7E3,7826,U+1F7E3,🟣,purple circle,12.0,Symbols,geometric,fully-qualified
🪙,U+1FA99,7793,U+1FA99,🪙,coin,13.0,Objects,money,fully-qualified
🇵🇱,U+1F1F5 U+1F1F1,7758,U+1F1F5 U+1F1F1,🇵🇱,flag: Poland,2.0,Flags,country-flag,fully-qualified
😤,U+1F624,7745,U+1F624,😤,face with steam from nose,0.6,Smileys & Emotion,face-negative,fully-qualified
🇧🇷,U+1F1E7 U+1F1F7,7723,U+1F1E7 U+1F1F7,🇧🇷,flag: Brazil,2.0,Flags,country-flag,fully-qualified
📽️,U+1F4FD U+FE0F,7717,U+1F4FD U+FE0F,📽️,film projector,0.7,Objects,light & video,fully-qualified
🙂‍↕️,U+1F642 U+200D U+2195 U+FE0F,7703,U+1F642 U+200D U+2195 U+FE0F,🙂‍↕️,head shaking vertically,15.1,Smileys & Emotion,face-neutral-skeptical,fully-qualified
