emoji,unicode,count,seq,emoji_from_meta,name,version,category,subgroup,status
🌲,U+1F332,53247,U+1F332,🌲,evergreen tree,1.0,Animals & Nature,plant-other,fully-qualified
🍔,U+1F354,53189,U+1F354,🍔,hamburger,0.6,Food & Drink,food-prepared,fully-qualified
🚫,U+1F6AB,53186,U+1F6AB,🚫,prohibited,0.6,Symbols,warning,fully-qualified
☝️,U+261D U+FE0F,53140,U+261D U+FE0F,☝️,index pointing up,0.6,People & Body,hand-single-finger,fully-qualified
🐈,U+1F408,53066,U+1F408,🐈,cat,0.7,Animals & Nature,animal-mammal,fully-qualified
🦇,U+1F987,52977,U+1F987,🦇,bat,3.0,Animals & Nature,animal-mammal,fully-qualified
📋,U+1F4CB,52968,U+1F4CB,📋,clipboard,0.6,Objects,office,fully-qualified
🍽️,U+1F37D U+FE0F,52904,U+1F37D U+FE0F,🍽️,fork and knife with plate,0.7,Food & Drink,dishware,fully-qualified
📧,U+1F4E7,52898,U+1F4E7,📧,e-mail,0.6,Objects,mail,fully-qualified
🎓,U+1F393,52711,U+1F393,🎓,graduation cap,0.6,Objects,clothing,fully-qualified
🦋,U+1F98B,52403,U+1F98B,🦋,butterfly,3.0,Animals & Nature,animal-bug,fully-qualified
🌻,U+1F33B,52100,U+1F33B,🌻,sunflower,0.6,Animals & Nature,plant-flower,fully-qualified
🔔,U+1F514,51986,U+1F514,🔔,bell,0.6,Objects,sound,fully-qualified
😨,U+1F628,51958,U+1F628,😨,fearful face,0.6,Smileys & Emotion,face-concerned,fully-qualified
🖥️,U+1F5A5 U+FE0F,51911,U+1F5A5 U+FE0F,🖥️,desktop computer,0.7,Objects,computer,fully-qualified
🔵,U+1F535,51841,U+1F535,🔵,blue circle,0.6,Symbols,geometric,fully-qualified
🌐,U+1F310,51386,U+1F310,🌐,globe with meridians,1.0,Travel & Places,place-map,fully-qualified
😠,U+1F620,51327,U+1F620,😠,angry face,0.6,Smileys & Emotion,face-negative,fully-qualified
🏖️,U+1F3D6 U+FE0F,51086,U+1F3D6 U+FE0F,🏖️,beach with umbrella,0.7,Travel & Places,place-geographic,fully-qualified
☁️,U+2601 U+FE0F,50939,U+2601 U+FE0F,☁️,cloud,0.6,Travel & Places,sky & weather,fully-qualified
🌖,U+1F316,50864,U+1F316,🌖,waning gibbous moon,1.0,Travel & Places,sky & weather,fully-qualified
🍪,U+1F36A,50853,U+1F36A,🍪,cookie,0.6,Food & Drink,food-sweet,fully-qualified
🤮,U+1F92E,50328,U+1F92E,🤮,face vomiting,5.0,Smileys & Emotion,face-unwell,fully-qualified
🫧,U+1FAE7,50129,U+1FAE7,🫧,bubbles,14.0,Objects,household,fully-qualified
😒,U+1F612,50034,U+1F612,😒,unamused face,0.6,Smileys & Emotion,face-neutral-skeptical,fully-qualified
🏳️‍⚧️,U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,50009,U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,🏳️‍⚧️,transgender flag,13.0,Flags,flag,fully-qualified
💐,U+1F490,49800,U+1F490,💐,bouquet,0.6,Animals & Nature,plant-flower,fully-qualified
💵,U+1F4B5,49281,U+1F4B5,💵,dollar banknote,0.6,Objects,money,fully-qualified
☑️,U+2611 U+FE0F,49235,U+2611 U+FE0F,☑️,check box with check,0.6,Symbols,other-symbol,fully-qualified
👁️,U+1F441 U+FE0F,49234,U+1F441 U+FE0F,👁️,eye,0.7,People & Body,body-parts,fully-qualified
💍,U+1F48D,49138,U+1F48D,💍,ring,0.6,Objects,clothing,fully-qualified
🎸,U+1F3B8,49024,U+1F3B8,🎸,guitar,0.6,Objects,musical-instrument,fully-qualified
🐝,U+1F41D,48761,U+1F41D,🐝,honeybee,0.6,Animals & Nature,animal-bug,fully-qualified
🍓,U+1F353,48673,U+1F353,🍓,strawberry,0.6,Food & Drink,food-fruit,fully-qualified
📰,U+1F4F0,48645,U+1F4F0,📰,newspaper,0.6,Objects,book-paper,fully-qualified
🪄,U+1FA84,48635,U+1FA84,🪄,magic wand,13.0,Activities,game,fully-qualified
🍆,U+1F346,48330,U+1F346,🍆,eggplant,0.6,Food & Drink,food-vegetable,fully-qualified
📦,U+1F4E6,48128,U+1F4E6,📦,package,0.6,Objects,mail,fully-qualified
🎈,U+1F388,47973,U+1F388,🎈,balloon,0.6,Activities,event,fully-qualified
🔎,U+1F50E,47959,U+1F50E,🔎,magnifying glass tilted right,0.6,Objects,light & video,fully-qualified
🔊,U+1F50A,47857,U+1F50A,🔊,speaker high volume,0.6,Objects,sound,fully-qualified
